Tên tỉnh cũ,Mã TP cũ,Tên QH cũ,Tên PX cũ,Mã QH cũ,Mã PX cũ,Tên PX mới,Mã PX mới,Độ khớp
Thành phố Hà Nội,1,Quận Ba Đình,Phường Phúc Xá,1,1,Phường Ngọc Hà,10101004,"64,28571429"
Thành phố Hà Nội,1,Quận Ba Đình,Phường Trúc Bạch,1,4,Phường Ba Đình,10101003,60
Thành phố Hà Nội,1,Quận Ba Đình,Phường Vĩnh Phúc,1,6,Phường Ba Đình,10101003,"63,33333333"
Thành phố Hà Nội,1,Quận Ba Đình,Phường Cống Vị,1,7,Phường Giảng Võ,10101005,"75,86206897"
Thành phố Hà Nội,1,Quận Ba Đình,Phường Liễu Giai,1,8,Phường Giảng Võ,10101005,"61,29032258"
Thành phố Hà Nội,1,Quận Ba Đình,Phường Nguyễn Trung Trực,1,10,Phường Ba Đình,10101003,"85,5"
Thành phố Hà Nội,1,Quận Ba Đình,Phường Quán Thánh,1,13,Phường Ba Đình,10101003,"64,51612903"
Thành phố Hà Nội,1,Quận Ba Đình,Phường Ngọc Hà,1,16,Phường Ngọc Hà,10101004,100
Thành phố Hà Nội,1,Quận Ba Đình,Phường Điện Biên,1,19,Phường Ba Đình,10101003,"69,66666667"
Thành phố Hà Nội,1,Quận Ba Đình,Phường Đội Cấn,1,22,Phường Ba Đình,10101003,"64,28571429"
Thành phố Hà Nội,1,Quận Ba Đình,Phường Ngọc Khánh,1,25,Phường Ngọc Hà,10101004,"83,6"
Thành phố Hà Nội,1,Quận Ba Đình,Phường Kim Mã,1,28,Phường Giảng Võ,10101005,"64,28571429"
Thành phố Hà Nội,1,Quận Ba Đình,Phường Giảng Võ,1,31,Phường Giảng Võ,10101005,100
Thành phố Hà Nội,1,Quận Ba Đình,Phường Thành Công,1,34,Phường Ba Đình,10101003,"61,29032258"
Thành phố Hà Nội,1,Quận Hoàn Kiếm,Phường Phúc Tân,2,37,Phường Cửa Nam,10105002,57
Thành phố Hà Nội,1,Quận Hoàn Kiếm,Phường Đồng Xuân,2,40,Phường Cửa Nam,10105002,57
Thành phố Hà Nội,1,Quận Hoàn Kiếm,Phường Hàng Mã,2,43,Phường Hoàn Kiếm,10105001,"73,33333333"
Thành phố Hà Nội,1,Quận Hoàn Kiếm,Phường Hàng Buồm,2,46,Phường Hoàn Kiếm,10105001,75
Thành phố Hà Nội,1,Quận Hoàn Kiếm,Phường Hàng Đào,2,49,Phường Hoàn Kiếm,10105001,"70,96774194"
Thành phố Hà Nội,1,Quận Hoàn Kiếm,Phường Hàng Bồ,2,52,Phường Hoàn Kiếm,10105001,"73,33333333"
Thành phố Hà Nội,1,Quận Hoàn Kiếm,Phường Cửa Đông,2,55,Phường Cửa Nam,10105002,"79,16666667"
Thành phố Hà Nội,1,Quận Hoàn Kiếm,Phường Lý Thái Tổ,2,58,Phường Cửa Nam,10105002,57
Thành phố Hà Nội,1,Quận Hoàn Kiếm,Phường Hàng Bạc,2,61,Phường Hoàn Kiếm,10105001,"70,96774194"
Thành phố Hà Nội,1,Quận Hoàn Kiếm,Phường Hàng Gai,2,64,Phường Hoàn Kiếm,10105001,"77,41935484"
Thành phố Hà Nội,1,Quận Hoàn Kiếm,Phường Chương Dương,2,67,Phường Cửa Nam,10105002,57
Thành phố Hà Nội,1,Quận Hoàn Kiếm,Phường Hàng Trống,2,70,Phường Hoàn Kiếm,10105001,"66,66666667"
Thành phố Hà Nội,1,Quận Hoàn Kiếm,Phường Cửa Nam,2,73,Phường Cửa Nam,10105002,100
Thành phố Hà Nội,1,Quận Hoàn Kiếm,Phường Hàng Bông,2,76,Phường Hoàn Kiếm,10105001,"68,75"
Thành phố Hà Nội,1,Quận Hoàn Kiếm,Phường Tràng Tiền,2,79,Phường Hoàn Kiếm,10105001,"66,66666667"
Thành phố Hà Nội,1,Quận Hoàn Kiếm,Phường Trần Hưng Đạo,2,82,Phường Cửa Nam,10105002,57
Thành phố Hà Nội,1,Quận Hoàn Kiếm,Phường Phan Chu Trinh,2,85,Phường Cửa Nam,10105002,"85,5"
Thành phố Hà Nội,1,Quận Hoàn Kiếm,Phường Hàng Bài,2,88,Phường Hoàn Kiếm,10105001,"77,41935484"
Thành phố Hà Nội,1,Quận Tây Hồ,Phường Phú Thượng,3,91,Phường Hồng Hà,10103014,"61,29032258"
Thành phố Hà Nội,1,Quận Tây Hồ,Phường Nhật Tân,3,94,Phường Tây Hồ,10103028,"67,85714286"
Thành phố Hà Nội,1,Quận Tây Hồ,Phường Tứ Liên,3,97,Phường Tây Hồ,10103028,"66,66666667"
Thành phố Hà Nội,1,Quận Tây Hồ,Phường Quảng An,3,100,Phường Hồng Hà,10103014,"68,96551724"
Thành phố Hà Nội,1,Quận Tây Hồ,Phường Xuân La,3,103,Phường Tây Hồ,10103028,"66,66666667"
Thành phố Hà Nội,1,Quận Tây Hồ,Phường Yên Phụ,3,106,Phường Hồng Hà,10103014,"64,28571429"
Thành phố Hà Nội,1,Quận Tây Hồ,Phường Bưởi,3,109,Phường Hồng Hà,10103014,"67,05882353"
Thành phố Hà Nội,1,Quận Tây Hồ,Phường Thụy Khuê,3,112,Phường Tây Hồ,10103028,"68,96551724"
Thành phố Hà Nội,1,Quận Long Biên,Phường Thượng Thanh,4,115,Phường Bồ Đề,10106040,"85,5"
Thành phố Hà Nội,1,Quận Long Biên,Phường Ngọc Thụy,4,118,Phường Bồ Đề,10106040,"63,33333333"
Thành phố Hà Nội,1,Quận Long Biên,Phường Giang Biên,4,121,Phường Long Biên,10106039,"84,84848485"
Thành phố Hà Nội,1,Quận Long Biên,Phường Đức Giang,4,124,Phường Phúc Lợi,10106042,"64,51612903"
Thành phố Hà Nội,1,Quận Long Biên,Phường Việt Hưng,4,127,Phường Việt Hưng,10106041,100
Thành phố Hà Nội,1,Quận Long Biên,Phường Gia Thụy,4,130,Phường Bồ Đề,10106040,"63,33333333"
Thành phố Hà Nội,1,Quận Long Biên,Phường Ngọc Lâm,4,133,Phường Phúc Lợi,10106042,"66,66666667"
Thành phố Hà Nội,1,Quận Long Biên,Phường Phúc Lợi,4,136,Phường Phúc Lợi,10106042,100
